Year,LandLinesDeveloped,LandLinesDeveloping,MobilePlansDeveloped,MobilePlansDeveloping
2005,570.11,673.1,992,1213.2
2006,564.99,695.9,1127.1,1617.5
2007,545.7,708,1243,2124.8
2008,543.97,705.4,1325.1,2704.8
2009,561.78,691.7,1382.8,3257.1
2010,552.88,676.1,1403.5,3886.6
2011,540.11,661.4,1406.4,4483.1
2012,526.51,652.8,1443.2,4817.3
2013,516.06,626.2,1478.6,5182.9
2014,502.73,592.3,1527.4,5468.5
2015,489.54,539.2,1572.7,5579.6
2016,479.43,512.8,1594.7,5886.1
2017,471.26,501,1605.2,6118.5
2018,456.4,502.2,1634.7,6362
2019,440.2,489.6,1676.7,6619.2
2020,427.7,479.7,1701.2,6633.9
2021,412.7,471.4,1726.5,6921.1
