Title,Rating,BoxOffice
Ocean's Eleven,7.7,451
The Bourne Identity,7.9,214
Spirit: Stallion of the Cimarron,7.1,123
Gerry,6,0
Stuck on You,5.8,66
The Bourne Supremacy,7.8,291
Syriana,6.9,94
The Brothers Grimm,5.9,105
The Good Shepherd,6.7,100
The Departed,8.5,291
The Bourne Ultimatum,8,444
Ocean's Thirteen,6.9,311
The Informant!,6.5,42
Invictus,7.4,122
True Grit,7.6,252
Inside Job,8.3,8
Hereafter,6.5,107
Green Zone,6.8,113
We Bought a Zoo,7.1,120
The Adjustment Bureau,7.1,128
Margaret,6.5,1
Contagion,6.6,137
Promised Land,6.6,11
Elysium,6.6,286
Behind the Candelabra,7,13
The Monuments Men,6.1,157
The Martian,8,631
The Great Wall,6,335
Jason Bourne,6.6,415
Downsizing,5.7,55
Suburbicon,5.6,13
